id,name,symbol,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,mineable,exchange,payments
1,Bitcoin,BTC,9431,2013-04-28 0:00:00,2.10E+07,19041375,19041375,1,29758.35532,33050126432,16.9329,-1.11925016,-1.33688771,-9.71992518,-26.39118788,-27.35857161,-32.66720536,5.67E+11,44.387,6.25E+11,Yes,No,No
1027,Ethereum,ETH,5715,2015-08-07 0:00:00,-1.00E+05,120800742.6,120800742.6,2,2015.402679,20005339261,41.6235,-1.46387163,-2.58214902,-16.01911485,-33.67710395,-28.11097724,-35.11523602,2.43E+11,19.058,2.43E+11,Yes,No,No
825,Tether,USDT,33404,2015-02-25 0:00:00,-1.00E+05,75752120651,79713622671,3,0.999072793,62815377734,10.8443,0.00717129,0.00531811,-0.0919902,-0.11774563,-0.13237996,-0.14339447,75681882724,5.9243,79639711610,No,No,Yes
3408,USD Coin,USDC,3978,2018-10-08 0:00:00,-1.00E+05,51002906718,51002906718,4,0.999812388,6456376506,27.4036,-0.06923264,-0.04835565,0.03524228,0.04125619,-0.00305729,-0.02917071,50993337983,3.9917,50993337983,No,Yes,No
1839,BNB,BNB,848,2017-07-25 0:00:00,165116760,163276974.6,163276974.6,5,297.0113509,1734215569,2.0641,-1.57199529,-1.10532376,-10.40013281,-28.45273254,-23.93411936,-30.74394665,48495114806,3.7991,49041551944,No,Yes,Yes
52,XRP,XRP,721,2013-08-04 0:00:00,1.00E+11,48343101197,99989535142,6,0.416470828,1742870711,7.7975,-1.42418103,-2.95732608,-22.27725638,-46.43812985,-47.51725263,-49.82558922,20133491375,1.5789,41647082782,No,Yes,No
2010,Cardano,ADA,440,2017-10-01 0:00:00,4.50E+10,33820262544,34277702082,7,0.562727026,1342179189,31.1597,-2.30040564,2.05750581,-14.87223399,-40.94081849,-33.59771956,-48.05410995,19031575776,1.4898,25322716191,Yes,No,No
5426,Solana,SOL,310,2020-04-10 0:00:00,-1.00E+05,337461239.1,511616946.1,8,53.96528935,2107736191,19.8608,-1.39969585,2.18656567,-24.30147184,-47.19166265,-39.35771672,-46.90375939,18211193413,1.4256,27609556535,No,No,No
4687,Binance USD,BUSD,3699,2019-09-20 0:00:00,-1.00E+05,17735417590,17735417590,9,1.000841979,8072423022,-13.3814,-0.0062448,-0.02006039,0.07863143,-0.03026844,0.05207098,0.05316384,17750350433,1.3895,17750350433,No,No,No
74,Dogecoin,DOGE,473,2013-12-15 0:00:00,-1.00E+05,1.33E+11,1.33E+11,10,0.087364264,633647797.6,-13.2651,-1.22072541,-1.93037783,-25.73259135,-39.52075504,-25.50496558,-41.63168116,11590683657,0.909,11590683657,Yes,Yes,Yes
6636,Polkadot,DOT,342,2020-08-19 0:00:00,-1.00E+05,987579315,1103303471,11,10.80597127,966594383.7,-16.5509,-2.33718044,-1.09891305,-9.02543373,-41.38503366,-42.84663246,-45.19185103,10671753707,0.8354,11922265617,No,No,No
5805,Avalanche,AVAX,249,2020-07-13 0:00:00,-1.00E+05,269110252.3,395891289.9,12,33.00876161,893123585.8,21.9622,-2.10130112,-3.42988442,-32.41629533,-57.40182612,-59.19101767,-62.42596524,8882996166,0.6958,13067881213,No,No,No
3717,Wrapped Bitcoin,WBTC,431,2019-01-30 0:00:00,-1.00E+05,284603.93,284603.93,13,29794.952,334244887,32.3904,-0.78338366,-1.15188397,-9.47006169,-26.26780634,-27.35507699,-32.56410632,8479760435,0.6638,8479760435,No,Yes,No
